"Area","Year","Element","Item","Unit","Value"
"Denmark",2010,"Stocks","Cattle","An",1571050
"Denmark",2011,"Stocks","Cattle","An",1567971
"Denmark",2012,"Stocks","Cattle","An",1606826
"Denmark",2013,"Stocks","Cattle","An",1614644
"Denmark",2014,"Stocks","Cattle","An",1563535
"Denmark",2015,"Stocks","Cattle","An",1551948
"Denmark",2016,"Stocks","Cattle","An",1568288
"Denmark",2017,"Stocks","Cattle","An",1545417
"Denmark",2018,"Stocks","Cattle","An",1530000
"Denmark",2019,"Stocks","Cattle","An",1500000
"Denmark",2020,"Stocks","Cattle","An",1500000
"Denmark",2021,"Stocks","Cattle","An",1480000
"Denmark",2022,"Stocks","Cattle","An",1466000
"Denmark",2023,"Stocks","Cattle","An",1434870
"Denmark",2024,"Stocks","Cattle","An",1413860
"Denmark",2019,"Stocks","Goats","An",18800
"Denmark",2022,"Stocks","Goats","An",18280
"Denmark",2010,"Production","Raw milk of cattle","t",4909400
"Denmark",2011,"Production","Raw milk of cattle","t",4880500
"Denmark",2012,"Production","Raw milk of cattle","t",4995020
"Denmark",2013,"Production","Raw milk of cattle","t",5104720
"Denmark",2014,"Production","Raw milk of cattle","t",5191100
"Denmark",2015,"Production","Raw milk of cattle","t",5356270
"Denmark",2016,"Production","Raw milk of cattle","t",5454960
"Denmark",2017,"Production","Raw milk of cattle","t",5557160
"Denmark",2018,"Production","Raw milk of cattle","t",5615200
"Denmark",2019,"Production","Raw milk of cattle","t",5615000
"Denmark",2020,"Production","Raw milk of cattle","t",5666000
"Denmark",2021,"Production","Raw milk of cattle","t",5644000
"Denmark",2022,"Production","Raw milk of cattle","t",5664000
"Denmark",2023,"Production","Raw milk of cattle","t",5687000
"Denmark",2024,"Production","Raw milk of cattle","t",5690000
"Denmark",2018,"Production","Raw milk of goats","t",0
"Denmark",2019,"Production","Raw milk of goats","t",0
"Denmark",2020,"Production","Raw milk of goats","t",0
"Denmark",2021,"Production","Raw milk of goats","t",0
"Denmark",2022,"Production","Raw milk of goats","t",0
"Denmark",2023,"Production","Raw milk of goats","t",0
"Denmark",2024,"Production","Raw milk of goats","t",0
"Denmark",2018,"Production","Raw milk of sheep","t",0
"Denmark",2019,"Production","Raw milk of sheep","t",0
"Denmark",2020,"Production","Raw milk of sheep","t",0
"Denmark",2021,"Production","Raw milk of sheep","t",0
"Denmark",2022,"Production","Raw milk of sheep","t",0
"Denmark",2023,"Production","Raw milk of sheep","t",0
"Denmark",2024,"Production","Raw milk of sheep","t",0
"Denmark",2010,"Stocks","Sheep","An",159626
"Denmark",2011,"Stocks","Sheep","An",143890
"Denmark",2012,"Stocks","Sheep","An",153691
"Denmark",2013,"Stocks","Sheep","An",151300
"Denmark",2014,"Stocks","Sheep","An",153482
"Denmark",2015,"Stocks","Sheep","An",144418
"Denmark",2016,"Stocks","Sheep","An",147209
"Denmark",2017,"Stocks","Sheep","An",154129
"Denmark",2018,"Stocks","Sheep","An",143797
"Denmark",2019,"Stocks","Sheep","An",138010
"Denmark",2020,"Stocks","Sheep","An",135339
"Denmark",2021,"Stocks","Sheep","An",135487
"Denmark",2022,"Stocks","Sheep","An",132510
"Denmark",2023,"Stocks","Sheep","An",152572
"Denmark",2024,"Stocks","Sheep","An",147980
"France",2010,"Stocks","Cattle","An",19555173
"France",2011,"Stocks","Cattle","An",19085561
"France",2012,"Stocks","Cattle","An",19005649
"France",2013,"Stocks","Cattle","An",19095797
"France",2014,"Stocks","Cattle","An",19248627
"France",2015,"Stocks","Cattle","An",19386522
"France",2016,"Stocks","Cattle","An",19373382
"France",2017,"Stocks","Cattle","An",18953568
"France",2018,"Stocks","Cattle","An",18613040
"France",2019,"Stocks","Cattle","An",18172970
"France",2020,"Stocks","Cattle","An",17815670
"France",2021,"Stocks","Cattle","An",17330080
"France",2022,"Stocks","Cattle","An",16986190
"France",2023,"Stocks","Cattle","An",16806900
"France",2024,"Stocks","Cattle","An",16478260
"France",2010,"Stocks","Goats","An",1436109
"France",2011,"Stocks","Goats","An",1381209
"France",2012,"Stocks","Goats","An",1307753
"France",2013,"Stocks","Goats","An",1290623
"France",2014,"Stocks","Goats","An",1284667
"France",2015,"Stocks","Goats","An",1261684
"France",2016,"Stocks","Goats","An",1258204
"France",2017,"Stocks","Goats","An",1270737
